Year,Geographical Description,ONS Code,Measure Group,Measure Group Description,Measure_Value,Geographical Level,Disaggregation Level,Measure Type
2019-20,Calderdale,E08000033,1B,Proportion of people who use services who have control over their daily life,74.8,Council,Total,Outcome
2019-20,Calderdale,E08000033,1C1A,Proportion of people using social care who receive self-directed support,99.5,Council,Total,Outcome
2019-20,Calderdale,E08000033,1C1B,Proportion of people using social care who receive self-directed support,100.0,Council,Total,Outcome
2019-20,Calderdale,E08000033,1C2A,Proportion of people using social care who receive direct payments,28.6,Council,Total,Outcome
2019-20,Calderdale,E08000033,1C2B,Proportion of people using social care who receive direct payments,100.0,Council,Total,Outcome
2019-20,Calderdale,E08000033,1E,Proportion of adults with learning disabilities in paid employment,8.5,Council,Total,Outcome
2019-20,Calderdale,E08000033,1F,Proportion of adults in contact with secondary mental health services in paid employment,10.0,Council,Total,Outcome
2019-20,Calderdale,E08000033,1G,Proportion of adults with learning disabilities who live in their own home or with their family,91.5,Council,Total,Outcome
2019-20,Calderdale,E08000033,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",67.0,Council,Total,Outcome
2019-20,Calderdale,E08000033,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,48.9,Council,Total,Outcome
2019-20,Calderdale,E08000033,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.415,Council,Total,Outcome
2019-20,Calderdale,E08000033,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",10.4,Council,Total,Outcome
2019-20,Calderdale,E08000033,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",621.3,Council,Total,Outcome
2019-20,Calderdale,E08000033,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,72.2,Council,Total,Outcome
2019-20,Calderdale,E08000033,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,2.4,Council,Total,Outcome
2019-20,Calderdale,E08000033,2C1,"Delayed transfers of care from hospital per 100,000 population",6.8,Council,Total,Outcome
2019-20,Calderdale,E08000033,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",2.6,Council,Total,Outcome
2019-20,Calderdale,E08000033,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.6,Council,Total,Outcome
2019-20,Calderdale,E08000033,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,76.5,Council,Total,Outcome
2019-20,Calderdale,E08000033,3A,Overall satisfaction of people who use services with their care and support,54.6,Council,Total,Outcome
2019-20,Calderdale,E08000033,3D1,Proportion of people who use services and carers who find it easy to find information about services,69.0,Council,Total,Outcome
2019-20,Calderdale,E08000033,4A,Proportion of people who use services who feel safe,71.1,Council,Total,Outcome
2019-20,Calderdale,E08000033,4B,Proportion of people who use services who say that those services have made them feel safe and secure,86.4,Council,Total,Outcome
2019-20,Kirklees,E08000034,1A,Social care-related quality of life,19.2,Council,Total,Outcome
2019-20,Kirklees,E08000034,1B,Proportion of people who use services who have control over their daily life,76.5,Council,Total,Outcome
2019-20,Kirklees,E08000034,1C1A,Proportion of people using social care who receive self-directed support,95.8,Council,Total,Outcome
2019-20,Kirklees,E08000034,1C1B,Proportion of people using social care who receive self-directed support,100.0,Council,Total,Outcome
2019-20,Kirklees,E08000034,1C2A,Proportion of people using social care who receive direct payments,43.5,Council,Total,Outcome
2019-20,Kirklees,E08000034,1C2B,Proportion of people using social care who receive direct payments,100.0,Council,Total,Outcome
2019-20,Kirklees,E08000034,1E,Proportion of adults with learning disabilities in paid employment,10.1,Council,Total,Outcome
2019-20,Kirklees,E08000034,1F,Proportion of adults in contact with secondary mental health services in paid employment,9.0,Council,Total,Outcome
2019-20,Kirklees,E08000034,1G,Proportion of adults with learning disabilities who live in their own home or with their family,78.4,Council,Total,Outcome
2019-20,Kirklees,E08000034,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",63.0,Council,Total,Outcome
2019-20,Kirklees,E08000034,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,47.0,Council,Total,Outcome
2019-20,Kirklees,E08000034,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.416,Council,Total,Outcome
2019-20,Kirklees,E08000034,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",14.1,Council,Total,Outcome
2019-20,Kirklees,E08000034,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",453.3,Council,Total,Outcome
2019-20,Kirklees,E08000034,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,79.6,Council,Total,Outcome
2019-20,Kirklees,E08000034,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,1.8,Council,Total,Outcome
2019-20,Kirklees,E08000034,2C1,"Delayed transfers of care from hospital per 100,000 population",7.4,Council,Total,Outcome
2019-20,Kirklees,E08000034,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",1.7,Council,Total,Outcome
2019-20,Kirklees,E08000034,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.9,Council,Total,Outcome
2019-20,Kirklees,E08000034,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,75.0,Council,Total,Outcome
2019-20,Kirklees,E08000034,3A,Overall satisfaction of people who use services with their care and support,62.2,Council,Total,Outcome
2019-20,Kirklees,E08000034,3D1,Proportion of people who use services and carers who find it easy to find information about services,65.8,Council,Total,Outcome
2019-20,Kirklees,E08000034,4A,Proportion of people who use services who feel safe,71.0,Council,Total,Outcome
2019-20,Kirklees,E08000034,4B,Proportion of people who use services who say that those services have made them feel safe and secure,87.3,Council,Total,Outcome
2019-20,Leeds,E08000035,1A,Social care-related quality of life,19.7,Council,Total,Outcome
2019-20,Leeds,E08000035,1B,Proportion of people who use services who have control over their daily life,80.2,Council,Total,Outcome
2019-20,Leeds,E08000035,1C1A,Proportion of people using social care who receive self-directed support,92.7,Council,Total,Outcome
2019-20,Leeds,E08000035,1C1B,Proportion of people using social care who receive self-directed support,93.4,Council,Total,Outcome
2019-20,Leeds,E08000035,1C2A,Proportion of people using social care who receive direct payments,16.2,Council,Total,Outcome
2019-20,Leeds,E08000035,1C2B,Proportion of people using social care who receive direct payments,83.7,Council,Total,Outcome
2019-20,Leeds,E08000035,1E,Proportion of adults with learning disabilities in paid employment,8.1,Council,Total,Outcome
2019-20,Leeds,E08000035,1F,Proportion of adults in contact with secondary mental health services in paid employment,12.0,Council,Total,Outcome
2019-20,Leeds,E08000035,1G,Proportion of adults with learning disabilities who live in their own home or with their family,74.8,Council,Total,Outcome
2019-20,Leeds,E08000035,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",74.0,Council,Total,Outcome
2019-20,Leeds,E08000035,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,49.4,Council,Total,Outcome
2019-20,Leeds,E08000035,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.351,Council,Total,Outcome
2019-20,Leeds,E08000035,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",16.2,Council,Total,Outcome
2019-20,Leeds,E08000035,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",561.1,Council,Total,Outcome
2019-20,Leeds,E08000035,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,83.1,Council,Total,Outcome
2019-20,Leeds,E08000035,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,2.0,Council,Total,Outcome
2019-20,Leeds,E08000035,2C1,"Delayed transfers of care from hospital per 100,000 population",12.6,Council,Total,Outcome
2019-20,Leeds,E08000035,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",0.7,Council,Total,Outcome
2019-20,Leeds,E08000035,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",2.0,Council,Total,Outcome
2019-20,Leeds,E08000035,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,65.7,Council,Total,Outcome
2019-20,Leeds,E08000035,3A,Overall satisfaction of people who use services with their care and support,66.7,Council,Total,Outcome
2019-20,Leeds,E08000035,3D1,Proportion of people who use services and carers who find it easy to find information about services,71.5,Council,Total,Outcome
2019-20,Leeds,E08000035,4A,Proportion of people who use services who feel safe,69.4,Council,Total,Outcome
2019-20,Leeds,E08000035,4B,Proportion of people who use services who say that those services have made them feel safe and secure,87.6,Council,Total,Outcome
2019-20,Wakefield,E08000036,1A,Social care-related quality of life,19.1,Council,Total,Outcome
2019-20,Wakefield,E08000036,1B,Proportion of people who use services who have control over their daily life,76.2,Council,Total,Outcome
2019-20,Wakefield,E08000036,1C1A,Proportion of people using social care who receive self-directed support,80.2,Council,Total,Outcome
2019-20,Wakefield,E08000036,1C1B,Proportion of people using social care who receive self-directed support,69.7,Council,Total,Outcome
2019-20,Wakefield,E08000036,1C2A,Proportion of people using social care who receive direct payments,19.0,Council,Total,Outcome
2019-20,Wakefield,E08000036,1C2B,Proportion of people using social care who receive direct payments,69.7,Council,Total,Outcome
2019-20,Wakefield,E08000036,1E,Proportion of adults with learning disabilities in paid employment,5.4,Council,Total,Outcome
2019-20,Wakefield,E08000036,1F,Proportion of adults in contact with secondary mental health services in paid employment,8.0,Council,Total,Outcome
2019-20,Wakefield,E08000036,1G,Proportion of adults with learning disabilities who live in their own home or with their family,82.2,Council,Total,Outcome
2019-20,Wakefield,E08000036,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",62.0,Council,Total,Outcome
2019-20,Wakefield,E08000036,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,48.1,Council,Total,Outcome
2019-20,Wakefield,E08000036,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.413,Council,Total,Outcome
2019-20,Wakefield,E08000036,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",12.5,Council,Total,Outcome
2019-20,Wakefield,E08000036,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",790.6,Council,Total,Outcome
2019-20,Wakefield,E08000036,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,83.7,Council,Total,Outcome
2019-20,Wakefield,E08000036,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,2.3,Council,Total,Outcome
2019-20,Wakefield,E08000036,2C1,"Delayed transfers of care from hospital per 100,000 population",9.4,Council,Total,Outcome
2019-20,Wakefield,E08000036,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",0.9,Council,Total,Outcome
2019-20,Wakefield,E08000036,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.4,Council,Total,Outcome
2019-20,Wakefield,E08000036,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,83.7,Council,Total,Outcome
2019-20,Wakefield,E08000036,3A,Overall satisfaction of people who use services with their care and support,64.3,Council,Total,Outcome
2019-20,Wakefield,E08000036,3D1,Proportion of people who use services and carers who find it easy to find information about services,63.2,Council,Total,Outcome
2019-20,Wakefield,E08000036,4A,Proportion of people who use services who feel safe,67.1,Council,Total,Outcome
2019-20,Wakefield,E08000036,4B,Proportion of people who use services who say that those services have made them feel safe and secure,84.9,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1A,Social care-related quality of life,19.5,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1B,Proportion of people who use services who have control over their daily life,80.6,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1C1A,Proportion of people using social care who receive self-directed support,99.3,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1C1B,Proportion of people using social care who receive self-directed support,100.0,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1C2A,Proportion of people using social care who receive direct payments,35.6,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1C2B,Proportion of people using social care who receive direct payments,81.3,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1E,Proportion of adults with learning disabilities in paid employment,5.8,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1F,Proportion of adults in contact with secondary mental health services in paid employment,18.0,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1G,Proportion of adults with learning disabilities who live in their own home or with their family,74.3,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",85.0,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,46.7,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.405,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",23.3,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",607.7,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,64.9,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,1.9,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2C1,"Delayed transfers of care from hospital per 100,000 population",11.6,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",5.4,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.3,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,74.7,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,3A,Overall satisfaction of people who use services with their care and support,66.4,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,3D1,Proportion of people who use services and carers who find it easy to find information about services,68.6,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,4A,Proportion of people who use services who feel safe,72.1,Council,Total,Outcome
2019-20,East Riding of Yorkshire,E06000011,4B,Proportion of people who use services who say that those services have made them feel safe and secure,91.3,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1A,Social care-related quality of life,19.5,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1B,Proportion of people who use services who have control over their daily life,80.6,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1C1A,Proportion of people using social care who receive self-directed support,100.0,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1C1B,Proportion of people using social care who receive self-directed support,100.0,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1C2A,Proportion of people using social care who receive direct payments,26.5,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1C2B,Proportion of people using social care who receive direct payments,100.0,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1E,Proportion of adults with learning disabilities in paid employment,0.4,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1F,Proportion of adults in contact with secondary mental health services in paid employment,12.0,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1G,Proportion of adults with learning disabilities who live in their own home or with their family,77.1,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",73.0,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,51.6,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.406,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",32.5,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",1093.5,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,94.1,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,1.4,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2C1,"Delayed transfers of care from hospital per 100,000 population",11.0,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",6.3,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.3,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,71.0,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,3A,Overall satisfaction of people who use services with their care and support,60.6,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,3D1,Proportion of people who use services and carers who find it easy to find information about services,67.3,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,4A,Proportion of people who use services who feel safe,71.7,Council,Total,Outcome
2019-20,"Kingston upon Hull, City of",E06000010,4B,Proportion of people who use services who say that those services have made them feel safe and secure,89.3,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1A,Social care-related quality of life,18.4,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1B,Proportion of people who use services who have control over their daily life,75.6,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1C1A,Proportion of people using social care who receive self-directed support,95.9,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1C1B,Proportion of people using social care who receive self-directed support,98.5,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1C2A,Proportion of people using social care who receive direct payments,20.9,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1C2B,Proportion of people using social care who receive direct payments,32.8,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1E,Proportion of adults with learning disabilities in paid employment,10.4,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1F,Proportion of adults in contact with secondary mental health services in paid employment,12.0,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1G,Proportion of adults with learning disabilities who live in their own home or with their family,92.0,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",71.0,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,45.1,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.378,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",10.8,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",766.6,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,83.3,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,2.3,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2C1,"Delayed transfers of care from hospital per 100,000 population",7.0,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",0.6,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.7,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,50.5,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,3A,Overall satisfaction of people who use services with their care and support,58.7,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,3D1,Proportion of people who use services and carers who find it easy to find information about services,64.9,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,4A,Proportion of people who use services who feel safe,60.4,Council,Total,Outcome
2019-20,North East Lincolnshire,E06000012,4B,Proportion of people who use services who say that those services have made them feel safe and secure,84.9,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1A,Social care-related quality of life,19.6,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1B,Proportion of people who use services who have control over their daily life,79.6,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1C1A,Proportion of people using social care who receive self-directed support,100.0,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1C1B,Proportion of people using social care who receive self-directed support,100.0,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1C2A,Proportion of people using social care who receive direct payments,41.4,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1C2B,Proportion of people using social care who receive direct payments,100.0,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1E,Proportion of adults with learning disabilities in paid employment,3.2,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1F,Proportion of adults in contact with secondary mental health services in paid employment,6.0,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1G,Proportion of adults with learning disabilities who live in their own home or with their family,79.2,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",33.0,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,51.0,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.445,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",17.0,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",578.4,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,89.6,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,2.8,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2C1,"Delayed transfers of care from hospital per 100,000 population",7.6,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",1.7,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.6,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,91.4,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,3A,Overall satisfaction of people who use services with their care and support,66.9,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,3D1,Proportion of people who use services and carers who find it easy to find information about services,67.1,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,4A,Proportion of people who use services who feel safe,75.4,Council,Total,Outcome
2019-20,North Lincolnshire,E06000013,4B,Proportion of people who use services who say that those services have made them feel safe and secure,90.8,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1A,Social care-related quality of life,19.2,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1B,Proportion of people who use services who have control over their daily life,69.2,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1C1A,Proportion of people using social care who receive self-directed support,80.0,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1C1B,Proportion of people using social care who receive self-directed support,39.4,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1C2A,Proportion of people using social care who receive direct payments,20.0,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1C2B,Proportion of people using social care who receive direct payments,39.4,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1E,Proportion of adults with learning disabilities in paid employment,4.8,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1F,Proportion of adults in contact with secondary mental health services in paid employment,20.0,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1G,Proportion of adults with learning disabilities who live in their own home or with their family,79.8,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1H,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",77.0,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1I1,Proportion of people who use services who reported that they had as much social contact as they would like,48.7,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,1J,Adjusted Social care-related quality of life  impact of Adult Social Care services,0.408,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2A1,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",23.0,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2A2,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",670.8,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2B1,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,82.6,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2B2,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,1.3,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2C1,"Delayed transfers of care from hospital per 100,000 population",10.7,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2C2,"Delayed transfers of care from hospital which are attributable to adult social care per 100,000 population",2.8,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2C3,"Delayed transfers of care from hospital which are jointly attributable to the NHS and adult social care per 100,000 population",0.8,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,2D,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,87.8,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,3A,Overall satisfaction of people who use services with their care and support,67.1,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,3D1,Proportion of people who use services and carers who find it easy to find information about services,74.1,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,4A,Proportion of people who use services who feel safe,76.6,Council,Total,Outcome
2019-20,North Yorkshire,E10000023,4B,Proportion of people who use services who say that those services have made them feel safe and secure,93.2,Council,Total,Outcome
2019-20,York,E06000014,1A,Social care-related quality of life,19.2,Council,Total,Outcome
2019-20,York,E06000014,1B,Proportion of people who use services who have control over their daily life,76.3,Council,Total,Outcome
2019-20,York,E06000014,1C1A,Proportion of people using social care who receive self-directed support,99.9,Council,Total,Outcome
